YEAR,Site_code,CX,CY,LON,LAT,Site
2013,BUT,648056,218384,8.0718,47.1147,Buttisholz
2013,COL,526563,156498,6.4810,46.5557,Colombier
2013,DUR,705305,235907,8.8302,47.2657,Durnten
2013,HER,737387,250988,9.2586,47.3954,Herisau
2013,HOC,663579,225481,8.2774,47.1772,Hochdorf
2013,HOR,645936,261567,8.0483,47.5033,Hornussen
2013,KER,607717,211961,7.5402,47.0586,Kernenried
2013,MES,602131,217644,7.4667,47.1098,Messen
2013,NIE,624365,251730,7.7615,47.4159,Niederdorf
2013,ROM,561625,172658,6.9368,46.7040,Romont
2013,ROT,693425,218837,8.6697,47.1139,Rothenthurm
2013,SEV,523727,158534,6.4437,46.5737,Severy
2014,AAD,709598,262046,8.8933,47.5000,Aadorf
2014,BIR,674181,246184,8.4206,47.3623,Birmensdorf
2014,ELG,706535,262077,8.8526,47.5008,Elgg 
2014,ELL,704475,269662,8.8271,47.5694,Ellikon 
2014,KNO,676997,230577,8.4552,47.2216,Knonau 
2014,MAR,690301,275124,8.6399,47.6206,Marthanlen 
2014,MUR,668350,237186,8.3421,47.2820,Muri 
2014,REI,655352,234939,8.1700,47.2630,Reinach 
2014,UNT,667926,262407,8.3403,47.5089,Unterendingen
2014,VAL,561727,211028,6.9350,47.0492,ValdeRuz
2014,VIL,568546,223350,7.0238,47.1604,Villeret 
2014,ZUL,611361,249652,7.5891,47.3976,Zulwil
